iter	Passed	Remaining
858	429582	70513
859	430054	70008
860	430566	69510
861	430971	68995
862	431430	68488
863	431907	67985
864	432443	67491
865	432946	66991
866	433450	66492
867	433931	65989
868	434436	65490
869	434851	64977
870	435336	64475
871	435821	63973
872	436298	63470
873	436757	62965
874	437260	62465
875	437653	61950
876	438072	61439
877	438600	60944
878	439096	60444
879	439615	59947
880	440065	59441
881	440582	58944
882	441108	58448
883	441617	57949
884	442068	57443
885	442564	56943
886	443021	56439
887	443524	55940
888	444026	55440
889	444503	54938
890	444969	54435
891	445491	53938
892	446072	53448
893	446504	52941
894	447057	52448
895	447531	51945
896	448102	51454
897	448640	50959
898	449097	50454
899	449563	49951
900	450069	49452
901	450590	48955
902	451113	48458
903	451607	47958
904	452138	47462
905	452672	46966
906	453130	46462
907	453614	45960
908	454057	45455
909	454573	44957
910	455045	44455
911	455493	43951
912	455976	43450
913	456480	42951
914	456938	42447
915	457386	41943
916	457910	41446
917	458446	40950
918	458951	40451
919	459489	39955
920	459954	39453
921	460405	38949
922	460922	38451
923	461440	37953
924	461906	37451
925	462445	36955
926	463039	36463
927	463594	35968
928	464029	35464
929	464484	34961
930	464994	34462
931	465460	33960
932	465963	33461
933	466443	32960
934	466973	32463
935	467454	31962
936	467954	31463
937	468378	30958
938	468820	30455
939	469308	29955
940	469769	29454
941	470281	28955
942	470763	28455
943	471242	27955
944	471706	27453
945	472167	26952
946	472627	26451
947	473102	25950
948	473560	25449
949	474073	24951
950	474538	24450
951	475045	23951
952	475470	23449
953	475914	22947
954	476481	22452
955	476999	21953
956	477441	21452
957	478025	20957
958	478581	20460
959	479044	19960
960	479549	19461
961	480009	18960
962	480526	18462
963	481130	17967
964	481657	17469
965	482177	16971
966	482666	16471
967	483218	15974
968	483711	15474
969	484180	14974
970	484603	14473
971	485105	13974
972	485572	13474
973	486121	12976
974	486589	12476
975	487128	11978
976	487614	11479
977	488085	10979
978	488601	10480
979	489085	9981
980	489572	9482
981	490038	8982
982	490531	8483
983	490994	7983
984	491506	7484
985	491905	6984
986	492328	6484
987	492821	5985
988	493339	5487
989	493789	4987
990	494353	4489
991	494871	3990
992	495381	3492
993	495838	2992
994	496324	2494
995	496845	1995
996	497323	1496
997	497842	997
998	498333	498
999	498799	0
